artist,venue,date,emoji,summary,sounds_like,genre
Jason Isbell,Mission Ballroom,2025-05-01,🪕,Poetic Southern folk-rock from a modern master,"Drive-By Truckers, Chris Stapleton","Folk, Country & Americana"
L.S. Dunes,Oriental Theater,2025-05-01,🦅,Post-hardcore supergroup catharsis,"Thursday, Circa Survive",Rock & Alternative
Owen Pallett,Paramount Theatre,2025-05-01,🎻,Orchestral indie-pop with baroque brilliance,"Andrew Bird, Sufjan Stevens",Pop & Indie Pop
Squirrel Nut Zippers,TBD,2025-05-02,🎷,Swing revival with Southern gothic flair,"Big Bad Voodoo Daddy, Tom Waits","Funk, Soul & Jazz"
Tigers Jaw,Red Rocks Amphitheatre,2025-05-02,🌪️,Emo-pop that wears its heart on a thrifted flannel,"Joyce Manor, The Get Up Kids",Rock & Alternative
Turnover,Red Rocks Amphitheatre,2025-05-02,🌴,Washed-out dream-pop with emo roots,"DIIV, Wild Nothing",Pop & Indie Pop
Deerhoof,Bluebird Theater,2025-05-02,🍒,"Art-rock with skronk, whimsy, and full-body freak-outs","Dirty Projectors, Xiu Xiu",Electronic & Experimental
Amtrac,Club Vinyl,2025-05-02,🌌,Slick house grooves with melodic edges,"Tycho, Bonobo",Electronic & Experimental
Jason Isbell,Red Rocks Amphitheatre,2025-05-03,🎸,Poetic Southern folk-rock from a modern master,"Drive-By Truckers, Chris Stapleton","Folk, Country & Americana"
Squirrel Nut Zippers,TBD,2025-05-03,🎪,Swing revival with Southern gothic flair,"Big Bad Voodoo Daddy, Tom Waits","Funk, Soul & Jazz"
Ebo Taylor,Cervantes' Masterpiece Ballroom & Other Side,2025-05-04,🌍,Afrobeat legend with highlife grooves,"Fela Kuti, Tony Allen","Funk, Soul & Jazz"
Hunny,Summit Music Hall,2025-05-07,💘,Bubbly indie pop-rock with emo glitter,"The 1975, Hippo Campus",Pop & Indie Pop
Nick Cave & The Bad Seeds,Mission Ballroom,2025-05-07,🕯️,"Dark, romantic, and unrelentingly dramatic","Leonard Cohen, Swans",Rock & Alternative
Jack White,Mission Ballroom,2025-05-08,🎤,Bluesy garage-rock force of nature,"The White Stripes, The Raconteurs",Rock & Alternative
Seun Kuti & Egypt 80,Fort Collins Armory,2025-05-09,🔥,"Fierce, funky Afrobeat from Fela’s son","Fela Kuti, Antibalas","Funk, Soul & Jazz"
Jack White,Mission Ballroom,2025-05-09,🎸,Bluesy garage-rock force of nature,"The White Stripes, The Raconteurs",Rock & Alternative
Miya Folick,Bluebird Theater,2025-05-11,🌺,"Tender, explosive alt-pop","Sharon Van Etten, Mitski",Pop & Indie Pop
The Menzingers,Mission Ballroom,2025-05-11,🍻,"Scrappy, heartfelt punk anthems","Hot Water Music, The Gaslight Anthem",Rock & Alternative
Lucero,Mission Ballroom,2025-05-11,🚛,Gritty Southern rock with country twang,"Drive-By Truckers, Social Distortion",Rock & Alternative
Queen of Jeans,Mission Ballroom,2025-05-11,👑,"Dreamy, harmony-laced indie rock","Alvvays, Best Coast",Pop & Indie Pop
Seun Kuti & Egypt 80,Cervantes' Masterpiece Ballroom & Other Side,2025-05-11,🌞,"Fierce, funky Afrobeat from Fela’s son","Fela Kuti, Antibalas","Funk, Soul & Jazz"
Lucy Dacus,Red Rocks Amphitheatre,2025-05-12,📚,"Wistful, literate indie rock","Phoebe Bridgers, Big Thief",Pop & Indie Pop
Allison Russell,Gothic Theatre,2025-05-12,🪶,Soulful Americana with poetic fire,"Rhiannon Giddens, Brandi Carlile","Folk, Country & Americana"
Kara Jackson,Gothic Theatre,2025-05-12,📝,Spoken-word-leaning folk with raw edges,"Adrianne Lenker, Patti Smith","Folk, Country & Americana"
Jane Remover,Bluebird Theater,2025-05-12,🧃,Internet-core emo-pop daydreams,"quinn, midwxst",Pop & Indie Pop
Sharon Van Etten,Ogden Theatre,2025-05-12,💔,"Cinematic, emotionally resonant indie rock","Angel Olsen, Julien Baker",Pop & Indie Pop
Magdalena Bay,Ogden Theatre,2025-05-13,🪩,"Hyper-modern, shimmery synth-pop","Caroline Polachek, Charli XCX",Pop & Indie Pop
Lambrini Girls,Larimer Lounge,2025-05-13,💅,Feral UK punk with glitter and rage,"Amyl & The Sniffers, Dream Wife",Rock & Alternative
