artist,venue,date,emoji,summary,sounds_like,genre
Dr. Dog,Red Rocks Amphitheatre,2025-07-01,🐶🌄,Farewell psych-pop weirdos return to Red Rocks,"The Shins, Fleet Foxes, Blitzen Trapper",Rock & Alternative
Crumb,Red Rocks Amphitheatre,2025-07-01,🌀🌈,"Dreamy, jazz-tinged psych-pop with a woozy haze","Men I Trust, Mild High Club, Still Woozy",Electronic & Experimental
Primus,Red Rocks Amphitheatre,2025-07-09,🐸🎸,Surreal bass-driven oddity rock,"Mr. Bungle, Ween, Les Claypool",Rock & Alternative
Incubus,Red Rocks Amphitheatre,2025-07-10,🔥🎤,"Alt-rock mainstays with a mix of grunge, funk & hooks","311, Hoobastank, Deftones",Rock & Alternative
Ben Kweller,Bluebird Theater,2025-07-11,🧢🎹,Power-pop sweetheart with earnest hooks,"Rufus Wainwright, Nada Surf, Brendan Benson",Pop & Indie Pop
The Avett Brothers,Red Rocks Amphitheatre,2025-07-11,🎻🏞️,Folk-rock crowd-pleasers with big feelings,"The Lumineers, Mumford & Sons, Dawes","Folk, Country & Americana"
houndmouth,The Mishawaka,2025-07-12,🐕🎶,"Dusty, twangy indie Americana","Delta Spirit, Dr. Dog, Shakey Graves","Folk, Country & Americana"
Ben Kweller,Aggie Theatre,2025-07-12,🧢🎹,Power-pop sweetheart with earnest hooks,"Rufus Wainwright, Nada Surf, Brendan Benson",Pop & Indie Pop
The Avett Brothers,Red Rocks Amphitheatre,2025-07-12,🎻🏞️,Folk-rock crowd-pleasers with big feelings,"The Lumineers, Mumford & Sons, Dawes","Folk, Country & Americana"
Car Seat Headrest,Mission Ballroom,2025-07-12,🛏️🎤,Lo-fi indie rock turned anthemic and raw,"Parquet Courts, The Strokes, Modest Mouse",Rock & Alternative
Ani DiFranco,Red Rocks Amphitheatre,2025-07-13,🧕🎸,"Fierce, poetic folk-punk icon","Tori Amos, Patty Griffin, PJ Harvey","Folk, Country & Americana"
The Avett Brothers,Red Rocks Amphitheatre,2025-07-13,🎻🏞️,Folk-rock crowd-pleasers with big feelings,"The Lumineers, Mumford & Sons, Dawes","Folk, Country & Americana"
This Will Destroy You,Meow Wolf Denver,2025-07-20,🌌🎸,"Expansive, dramatic post-rock","Explosions in the Sky, Mogwai, Caspian",Electronic & Experimental
The Dirty Nil,Marquis Theater,2025-07-21,🖤⚡,"Brash, punk-infused alt rock","PUP, White Reaper, Jeff Rosenstock",Rock & Alternative
Heart Attack Man,Marquis Theater,2025-07-21,💥🎸,"Cathartic, crunchy emo-pop","Modern Baseball, Hot Mulligan, Joyce Manor",Rock & Alternative
Steve Earle,Chautauqua Auditorium,2025-07-21,🤠🪕,Gritty Americana storyteller,"Townes Van Zandt, Lucinda Williams, John Prine","Folk, Country & Americana"
Cavetown,Fiddler's Green Amphitheatre,2025-07-24,🏡🌈,Bedroom pop charm with vulnerable lyrics,"mxmtoon, Girl in Red, Beabadoobee",Pop & Indie Pop
CAKE,Red Rocks Amphitheatre,2025-07-24,🎺🍰,Deadpan funk-rock with trumpet and sass,"They Might Be Giants, Beck, Modest Mouse",Rock & Alternative
The Garden,Unhinged Fest,2025-07-26,🌱🧿,Genre-jumping punk chaos,"Black Midi, Death Grips, 100 gecs",Electronic & Experimental
Caamp,Fiddler's Green Amphitheatre,2025-07-26,🌲🎶,Folky singalong indie with outdoorsy vibes,"Mt. Joy, Gregory Alan Isakov, Iron & Wine","Folk, Country & Americana"
of Montreal,Gothic Theatre,2025-07-26,🎭🌈,"Psychedelic, flamboyant indie-pop spectacle","Animal Collective, The Flaming Lips, Ariel Pink",Electronic & Experimental
Molly Lewis (Whistler),Red Rocks Amphitheatre,2025-07-27,🌀👄,"Cinematic, ethereal whistling melodies","Air, Khruangbin, Ennio Morricone",Electronic & Experimental
Beck,Red Rocks Amphitheatre,2025-07-27,🌀🎤,Genre-hopping icon of slacker cool,"Eels, Blur, Spoon",Rock & Alternative
