artist,venue,date,emoji,summary,sounds_like,genre
Waxahatchee,Outside Festival 2025,2025-06-01,🌼,Intimate indie-folk meets raw southern roots,"Lucy Dacus, Big Thief, Sharon Van Etten","Folk, Country & Americana"
Thievery Corporation,Red Rocks Amphitheatre,2025-06-04,🌍,"Dubby, worldly electronic grooves","Massive Attack, Bonobo, Kruder & Dorfmeister",Electronic & Experimental
OMD,Paramount Theatre,2025-06-05,🎹,Vintage synth-pop masters with heartfelt hooks,"Pet Shop Boys, Erasure, New Order",Pop & Indie Pop
DeVotchKa,Levitt Pavilion Denver,2025-06-06,🎻,Gypsy-punk chamber pop with a dramatic flair,"Beirut, Gogol Bordello, Calexico","Folk, Country & Americana"
NOBRO,Moe's Original BBQ,2025-06-06,🔥,High-octane punk with riot grrrl energy,"Bikini Kill, Amyl and the Sniffers, The Linda Lindas",Rock & Alternative
Bad Waitress,Moe's Original BBQ,2025-06-06,🍽️,Grimy garage punk with feminist bite,"The Distillers, L7, Hole",Rock & Alternative
Oxymorrons,Summit Music Hall,2025-06-08,🧨,Hip-hop meets punk in chaotic harmony,"Rage Against The Machine, Fever 333, P.O.S.",Rock & Alternative
Blondshell,Gothic Theatre,2025-06-08,💔,Confessional grunge-pop for modern anxieties,"Snail Mail, PJ Harvey, Alanis Morissette",Rock & Alternative
Death From Above 1979,Ogden Theatre,2025-06-08,⚡,Bass-driven noise rock with a danceable edge,"Royal Blood, The Rapture, Nine Inch Nails",Rock & Alternative
Coldplay,Empower Field at Mile High,2025-06-10,🌠,Arena anthems with heart-on-sleeve sincerity,"U2, Keane, Snow Patrol",Pop & Indie Pop
Panchiko,Summit Music Hall,2025-06-10,🌀,Lo-fi shoegaze revival that feels lost and found,"Radiohead, Duster, Have a Nice Life",Rock & Alternative
The Tubs,Marquis Theater,2025-06-11,📼,"Jangly, off-kilter indie pop from the UK underground","Television Personalities, The Feelies, The Clean",Rock & Alternative
Bloc Party,Red Rocks Amphitheatre,2025-06-11,🎸,Angular post-punk meets dance floor instincts,"Franz Ferdinand, Interpol, The Strokes",Rock & Alternative
Metric,Red Rocks Amphitheatre,2025-06-11,💡,Glossy indie rock with synth flair and sharp hooks,"CHVRCHES, Yeah Yeah Yeahs, Phantogram",Rock & Alternative
Sunflower Bean,The Coast,2025-06-13,🌻,Dreamy psych-rock with attitude,"Alvvays, Wolf Alice, The Lemon Twigs",Rock & Alternative
Disclosure,ReelWorks Denver,2025-06-13,🎚️,Slick house-pop built for glowing nights,"Calvin Harris, Jamie xx, Gorgon City",Electronic & Experimental
The Detroit Cobras,HQ,2025-06-13,🎙️,Garage-soul revival with vintage swagger,"Sharon Jones, The Sonics, Reigning Sound","Funk, Soul & Jazz"
Sunflower Bean,Hi-Dive,2025-06-14,🌼,Dreamy psych-rock with attitude,"Alvvays, Wolf Alice, The Lemon Twigs",Rock & Alternative
Fruit Bats,Red Rocks Amphitheatre,2025-06-15,🍊,"Warm, wandering indie folk","Fleet Foxes, Iron & Wine, Vetiver","Folk, Country & Americana"
Thee Sacred Souls,Red Rocks Amphitheatre,2025-06-15,🎷,"Smooth, classic soul with modern tenderness","Durand Jones, Leon Bridges, Al Green","Funk, Soul & Jazz"
Gillian Welch,Chautauqua Auditorium,2025-06-16,🪕,"Sparse, timeless Appalachian ballads","Emmylou Harris, Townes Van Zandt, David Rawlings","Folk, Country & Americana"
Barenaked Ladies,Red Rocks Amphitheatre,2025-06-17,🤣,"Goofy, upbeat pop-rock with harmonies galore","They Might Be Giants, Ben Folds Five, Weezer",Rock & Alternative
Gillian Welch,Paramount Theatre,2025-06-17,🎻,"Sparse, timeless Appalachian ballads","Emmylou Harris, Townes Van Zandt, David Rawlings","Folk, Country & Americana"
BRONCHO,Natural Pleasure Tour 2025,2025-06-17,😎,Louche garage-pop with a smirk,"Twin Peaks, Wavves, The Growlers",Rock & Alternative
Alison Krauss,Red Rocks Amphitheatre,2025-06-18,🎻,Heavenly bluegrass vocals and expert fiddle work,"Union Station, Emmylou Harris, Dolly Parton","Folk, Country & Americana"
Béla Fleck,Chautauqua Auditorium,2025-06-19,🪕,Banjo virtuosity across genres and borders,"Chris Thile, Edgar Meyer, Punch Brothers","Funk, Soul & Jazz"
Tash Sultana,Red Rocks Amphitheatre,2025-06-20,🌈,One-person psych-soul jams with cosmic energy,"FKJ, Jack Garratt, Matt Corby","Funk, Soul & Jazz"
Perfume Genius,Gothic Theatre,2025-06-21,💔,"Glammy, fragile, defiant art-pop","Sufjan Stevens, St. Vincent, Anohni",Pop & Indie Pop
urika's bedroom,Gothic Theatre,2025-06-21,🩰,"Intimate, diary-like slowcore","Ethel Cain, Grouper, Julie Doiron",Rock & Alternative
Magdalena Bay,Red Rocks Amphitheatre,2025-06-22,🪩,Hyper-pop disco daydreams,"Charli XCX, Caroline Polachek, Chairlift",Pop & Indie Pop
Metallica,Empower Field at Mile High,2025-06-29,⚔️,Founding fathers of thrash metal,"Megadeth, Slayer, Pantera",Rock & Alternative
