artist,venue,date,emoji,summary,sounds_like,genre
Jason Isbell,Mission Ballroom,2025-05-01,🎸,"Thoughtful, roots-rock songwriting powerhouse","Sturgill Simpson, John Prine","Folk, Country & Americana"
L.S. Dunes,Oriental Theater,2025-05-01,🔥,Post-hardcore supergroup with raw energy,"Thursday, My Chemical Romance",Rock & Alternative
Owen Pallett,Paramount Theatre,2025-05-01,🎻,Orchestral indie pop with loops and longing,"Andrew Bird, Sufjan Stevens",Classical & Orchestral
Squirrel Nut Zippers,Bluebird Theater,2025-05-02,🎺,Retro swing revival for the whiskey-sipping set,Cherry Poppin’ Daddies,"Funk, Soul & Jazz"
Tigers Jaw,Red Rocks Amphitheatre,2025-05-02,🖤,Melancholic emo-tinged indie rock,"Title Fight, The Menzingers",Rock & Alternative
Turnover,Red Rocks Amphitheatre,2025-05-02,🌊,"Dreamy, shoegaze-adjacent alt rock","DIIV, Day Wave",Rock & Alternative
Jason Isbell,Mission Ballroom,2025-05-02,🎸,"Thoughtful, roots-rock songwriting powerhouse","Sturgill Simpson, John Prine","Folk, Country & Americana"
Deerhoof,Bluebird Theater,2025-05-02,🐐,Chaotic and charming experimental noise pop,"Xiu Xiu, Lightning Bolt",Electronic & Experimental
Amtrac,Club Vinyl,2025-05-02,💿,"Dancefloor-ready, melodic house with heart","Lane 8, Tycho",Electronic & Experimental
Jason Isbell,Red Rocks Amphitheatre,2025-05-03,🎸,"Thoughtful, roots-rock songwriting powerhouse","Sturgill Simpson, John Prine","Folk, Country & Americana"
Squirrel Nut Zippers,Bluebird Theater,2025-05-03,🎺,Retro swing revival for the whiskey-sipping set,Cherry Poppin’ Daddies,"Funk, Soul & Jazz"
Ebo Taylor,Cervantes',2025-05-04,🌍,Afrobeat legend with a funky Ghanaian flair,Fela Kuti,"Funk, Soul & Jazz"
Hunny,Summit Music Hall,2025-05-07,🎤,"Bouncy, sun-soaked pop rock with ‘80s flair","The 1975, Bad Suns",Pop & Indie Pop
Nick Cave & The Bad Seeds,Mission Ballroom,2025-05-07,🩸,Brooding gothic rock with poetic intensity,"Leonard Cohen, Swans",Rock & Alternative
Jack White,Mission Ballroom,2025-05-08,💥,Fuzzed-out blues rock chaos from a modern legend,"The Black Keys, The Raconteurs",Rock & Alternative
Seun Kuti & Egypt 80,Fort Collins Armory,2025-05-09,🔥,Afrobeat fire from Fela's son and band,"Fela Kuti, Antibalas","Funk, Soul & Jazz"
Jack White,Mission Ballroom,2025-05-09,💥,Fuzzed-out blues rock chaos from a modern legend,"The Black Keys, The Raconteurs",Rock & Alternative
Miya Folick,Bluebird Theater,2025-05-11,🌸,Cathartic alt-pop with a thunderous voice,"MUNA, Sharon Van Etten",Pop & Indie Pop
The Menzingers,Mission Ballroom,2025-05-11,🎶,"Rough-edged, nostalgic punk with heart","Tigers Jaw, Spanish Love Songs",Rock & Alternative
Queen of Jeans,Mission Ballroom,2025-05-11,💖,Dreamy indie-pop with vintage soul charm,"Alvvays, Hop Along",Pop & Indie Pop
Lucero,Mission Ballroom,2025-05-11,🍺,Southern rock with punk grit and big feelings,Drive-By Truckers,"Folk, Country & Americana"
