artist,venue,date,emoji,summary,sounds_like,genre
Bright Eyes,Washington's,2025-04-01,💔,"Bleak, poetic indie-folk revival",Phoebe Bridgers,"Folk, Country & Americana"
The Bug Club,Hi-Dive,2025-04-01,🖤,"Playful, storytelling-driven garage rock",Parquet Courts,Rock & Alternative
Ducks Ltd.,Hi-Dive,2025-04-01,🦆,"Jangly, bittersweet indie pop",Rolling Blackouts Coastal Fever,Pop & Indie Pop
Franz Ferdinand,Boulder Theater,2025-04-01,🎸,Dance-punk anthems built for sweaty nights,The Rapture,Rock & Alternative
Zzzahara,Skylark Lounge,2025-04-01,😈,Fuzzy queer punk with slick LA edge,Cherry Glazerr,Rock & Alternative
Hinds,Meow Wolf Denver | Convergence Station,2025-04-01,☁️,Lo-fi Madrid girl-gang surf rock,Best Coast,Rock & Alternative
STRFKR,Red Rocks Amphitheatre,2025-04-03,🌌,Synth-pop shimmer for stargazing and dancing,Passion Pit,Electronic & Experimental
Alex Lahey,Aggie Theatre,2025-04-04,💁‍♀️,Self-aware Aussie power pop,Courtney Barnett,Pop & Indie Pop
Shakey Graves,Mission Ballroom,2025-04-04,🎭,One-man band turned genre-hopper,Rayland Baxter,"Folk, Country & Americana"
Baths,Marquis Theater,2025-04-05,💿,"Glitchy, emotional electronic pop",James Blake,Electronic & Experimental
Alex Lahey,Meow Wolf Denver | Convergence Station,2025-04-05,✨,Sardonic yet sincere indie rock,Charly Bliss,Pop & Indie Pop
Remi Wolf,Red Rocks Amphitheatre,2025-04-10,🍓,Hypercolor pop chaos queen,Tierra Whack,Pop & Indie Pop
Alice Phoebe Lou,Red Rocks Amphitheatre,2025-04-10,🌻,"Dreamy, folky soul with cosmic dust",Big Thief,"Folk, Country & Americana"
Lady Lamb,Fort Collins Armory,2025-04-10,💔,Vulnerable lyricism meets sharp fuzz,Torres,Rock & Alternative
Lady Lamb,Globe Hall,2025-04-11,💔,"Emotional, intimate indie-rock storytelling",,Rock & Alternative
Parker Millsap,Ogden Theatre,2025-04-11,🪕,Bluesy grit and gospel growl,Nathaniel Rateliff,"Folk, Country & Americana"
