artist,venue,date,emoji,summary,sounds_like,genre
Waxahatchee,Outside Festival 2025,2025-06-01,🌻,Southern indie folk-rock with grit and grace,"Big Thief, Lucinda Williams","Folk, Country & Americana"
Thievery Corporation,Red Rocks Amphitheatre,2025-06-04,🌍,"Dub, chillout, and global grooves under the stars","Massive Attack, Kruder & Dorfmeister",Electronic & Experimental
OMD,Paramount Theatre,2025-06-05,🕹️,80s synthpop legends still hitting those high notes,"New Order, Depeche Mode",Pop & Indie Pop
NOBRO,Moe's Original BBQ,2025-06-06,🥁,Riotous all-femme garage-punk,"The Linda Lindas, Amyl and The Sniffers",Rock & Alternative
Bad Waitress,Moe's Original BBQ,2025-06-06,💄,"Sleazy, chaotic punk rock","The Runaways, L7",Rock & Alternative
Oxymorrons,Summit Music Hall,2025-06-08,🎭,Genre-blending alt-rap-rock energy,"Rage Against The Machine, P.O.S.",Rock & Alternative
Blondshell,Gothic Theatre,2025-06-08,🔥,"Raw, grunge-tinged indie rock confessions","Liz Phair, PJ Harvey",Rock & Alternative
Death From Above 1979,Ogden Theatre,2025-06-08,⚡,Bass-heavy punk fury with dancefloor chaos,"Royal Blood, The Rapture",Rock & Alternative
Coldplay,Empower Field at Mile High,2025-06-10,🌈,Epic stadium pop with cosmic vibes,"U2, Snow Patrol",Pop & Indie Pop
Panchiko,Summit Music Hall,2025-06-10,💿,Dreamy lo-fi shoegaze revival,"Radiohead, Duster",Pop & Indie Pop
Bloc Party,Red Rocks Amphitheatre,2025-06-11,🪩,Frenzied post-punk meets indie dance,"Franz Ferdinand, Interpol",Rock & Alternative
The Tubs,Marquis Theater,2025-06-11,📻,Welsh jangle-pop with punk spirit,"Television Personalities, The Feelies",Rock & Alternative
Metric,Red Rocks Amphitheatre,2025-06-11,🎤,Sharp-edged synth rock from Canadian indie royalty,"Yeah Yeah Yeahs, CHVRCHES",Pop & Indie Pop
Disclosure,ReelWorks Denver,2025-06-13,🔊,House-pop bangers for body and soul,"Calvin Harris, Jamie xx",Electronic & Experimental
Sunflower Bean,The Coast,2025-06-13,🌼,Glossy glam-indie with NYC bite,"Wolf Alice, Cherry Glazerr",Rock & Alternative
The Detroit Cobras,HQ,2025-06-13,🦂,Garage-soul legends channeling old 45s,"Shannon & The Clams, Reigning Sound",Rock & Alternative
Sunflower Bean,Hi-Dive,2025-06-14,🌼,Glossy glam-indie with NYC bite,"Wolf Alice, Cherry Glazerr",Rock & Alternative
Fruit Bats,Red Rocks Amphitheatre,2025-06-15,🍑,"Wistful, melodic folk-pop wanderings","Vetiver, Iron & Wine","Folk, Country & Americana"
Thee Sacred Souls,Red Rocks Amphitheatre,2025-06-15,🕊️,"Silky, vintage-style soul with heart","Durand Jones & The Indications, Marvin Gaye","Funk, Soul & Jazz"
Gillian Welch,Chautauqua Auditorium,2025-06-16,🎻,"Dusty, timeless Americana storytelling","David Rawlings, Emmylou Harris","Folk, Country & Americana"
Barenaked Ladies,Red Rocks Amphitheatre,2025-06-17,🤣,Playful alt-rock nostalgia with pop hooks,"They Might Be Giants, Weezer",Pop & Indie Pop
Gillian Welch,Paramount Theatre,2025-06-17,🌾,"Dusty, timeless Americana storytelling","David Rawlings, Emmylou Harris","Folk, Country & Americana"
BRONCHO,Natural Pleasure Tour 2025,2025-06-17,🚙,Slacker garage-pop with a sticky groove,"The Strokes, The Growlers",Rock & Alternative
Alison Krauss,Red Rocks Amphitheatre,2025-06-18,🪕,Bluegrass and gospel elegance,"Union Station, Dolly Parton","Folk, Country & Americana"
Béla Fleck,Chautauqua Auditorium,2025-06-19,🎶,Virtuosic banjo mastery meets world jazz,"Chris Thile, Edgar Meyer","Folk, Country & Americana"
Tash Sultana,Red Rocks Amphitheatre,2025-06-20,🌈,Looped-up psychedelic solo jams,"FKJ, Allen Stone",Pop & Indie Pop
Perfume Genius,Gothic Theatre,2025-06-21,🌪️,"Glittering, devastating art pop","ANOHNI, Weyes Blood",Pop & Indie Pop
urika's bedroom,Gothic Theatre,2025-06-21,🧸,Bedroom pop meets emo haze,"Snail Mail, Soccer Mommy",Pop & Indie Pop
Magdalena Bay,Red Rocks Amphitheatre,2025-06-22,💿,Hyper-pop sparkle with retro vibes,"Charli XCX, Caroline Polachek",Pop & Indie Pop
Metallica,Empower Field at Mile High,2025-06-29,🤘,Thrash metal titans with seismic riffs,"Megadeth, Slayer",Rock & Alternative
Sam Fender,Fillmore Auditorium,2025-04-24,🎤,British singer-songwriter with anthemic indie rock sound,"Bruce Springsteen, The War on Drugs",Rock & Alternative
The Backseat Lovers,Fox Theatre,2025-04-21,🚗,"Indie quartet delivering energetic, heartfelt performances","Mt. Joy, Hippo Campus",Rock & Alternative
PRIMUS,Red Rocks Amphitheatre,2025-07-09,🦄,"Weird, funky, virtuosic rock legends","Ween, Les Claypool",Rock & Alternative
Ty Segall,Red Rocks Amphitheatre,2025-07-09,🌀,Garage rock wizard with fuzzed-out psych edge,"Thee Oh Sees, King Gizzard",Rock & Alternative
Nada Surf,Bluebird Theatre,2025-04-28,📻,Melodic alternative rock with reflective lyrics,"Death Cab for Cutie, Teenage Fanclub",Pop & Indie Pop
STRFKR,Red Rocks Amphitheatre,2025-04-03,💫,"Synthy, shimmery indie-pop dance party","MGMT, Passion Pit",Pop & Indie Pop
The Beta Band,Ogden Theatre,2025-10-21,🧠,Genre-bending cult legends from Scotland,"Beck, Super Furry Animals",Electronic & Experimental
Stereolab,Gothic Theatre,2025-10-14,🎛️,Space-age bachelor pad music meets motorik grooves,"Broadcast, Can",Electronic & Experimental
