artist,venue,date,emoji,summary,sounds_like,genre
Naked Giants,Globe Hall,2025-03-29,🎸,Grungy garage-rock with unhinged energy,"Wavves, Ty Segall",Rock & Alternative
Saint Motel,Mission Ballroom,2025-03-29,🕶️,Slick indie-pop with theatrical flair,"Foster the People, OK Go",Pop & Indie Pop
The Japanese House,Ball Arena,2025-03-30,🌫️,Lush synth-pop and dreamy vocals,"Imogen Heap, MUNA",Pop & Indie Pop
Amyl and The Sniffers,Mission Ballroom,2025-03-31,💥,Aussie punk chaos with mullets and muscle,"Dead Kennedys, IDLES",Rock & Alternative
Sheer Mag,Mission Ballroom,2025-03-31,🔥,Riff-heavy power-pop with a punk sneer,"Thin Lizzy, White Reaper",Rock & Alternative
Bright Eyes,Washington's,2025-04-01,🌧️,Heartache-fueled indie folk,"Elliott Smith, Iron & Wine","Folk, Country & Americana"
The Bug Club,Hi-Dive,2025-04-01,🖤,"Playful, storytelling-driven garage rock","Parquet Courts, Jeffrey Lewis",Rock & Alternative
Ducks Ltd.,Hi-Dive,2025-04-01,🦆,"Jangly, bittersweet indie pop",Rolling Blackouts Coastal Fever,Pop & Indie Pop
Franz Ferdinand,Boulder Theater,2025-04-01,💃,Post-punk dance rock that never went out of style,"The Strokes, Bloc Party",Rock & Alternative
Hinds,Meow Wolf Denver | Convergence Station,2025-04-01,💄,Lo-fi garage rock with Madrid sunshine,"Best Coast, The Slits",Rock & Alternative
STRFKR,Red Rocks Amphitheatre,2025-04-03,🚀,Indie-electro pop that shimmers under the stars,"Passion Pit, MGMT",Pop & Indie Pop
Alex Lahey,Aggie Theatre,2025-04-04,🎤,"Hooky, heartfelt Aussie rock","Courtney Barnett, Liz Phair",Rock & Alternative
Shakey Graves,Mission Ballroom,2025-04-04,🤠,Gravelly alt-folk with flair,"The Lone Bellow, Houndmouth","Folk, Country & Americana"
Baths,Marquis Theater,2025-04-05,🧼,Glitchy art-pop that’s both tender and danceable,"James Blake, Son Lux",Electronic & Experimental
Alex Lahey,Meow Wolf Denver | Convergence Station,2025-04-05,🎸,"Hooky, heartfelt Aussie rock","Courtney Barnett, Liz Phair",Rock & Alternative
Alice Phoebe Lou,Red Rocks Amphitheatre,2025-04-10,✨,Indie-folk with cosmic charm,"Angel Olsen, Lianne La Havas",Pop & Indie Pop
